acc,prompt,error
MINA00000000,The accession 'MINA00000000.1' refers to a Whole Genome Sequence record from the National Center for Biotechnical Information (NCBI) GenBank. The record contains nucleotide sequence data from Mycobacterium tuberculosis variant bovis (a Prokaryote from the species Mycobacterium tuberculosis). The sequenced strain is referred to as 'D-10-02315'.,n
MINA01000000,The accession 'MINA01000000' refers to a versioned Whole Genome Sequence record from the National Center for Biotechnical Information (NCBI) GenBank. The record contains nucleotide sequence data from Mycobacterium tuberculosis variant bovis (a Prokaryote from the species Mycobacterium tuberculosis). The sequenced strain is referred to as 'D-10-02315'.,y
CP000046.1,The accession 'CP000046.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Staphylococcus aureus subsp. aureus COL (a Prokaryote from the species Staphylococcus aureus). The sequenced strain is referred to as 'COL'.,n
CP007499,"The accession 'CP007499.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Staphylococcus aureus (a Prokaryote from the genus Staphylococcus). The sequenced strain is referred to as '2395', '2395 USA500', or 'USA 500'.",n
CP007500,"The accession 'CP007500.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Staphylococcus aureus (a Prokaryote from the genus Staphylococcus). The sequenced strain is referred to as 'plasmid pUSA500', '2395', '2395 USA500', or 'USA 500'.",n
Gs0095506,The accession 'Gs0095506' refers to a genomic study record from the Genomes OnLine Database (GOLD) database maintained by the US DOE Joint Genome Institute. This study record represents a range of specific genomic datasets representing biogas fermentation microbial communities from biogas plants in Germany.,y
CP011526,The accession 'CP011526.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Staphylococcus aureus (a Prokaryote from the genus Staphylococcus). The sequenced strain is referred to as 'DSM 20231'.,n
CP017183,"The accession 'CP017183.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Enterobacter hormaechei subsp. xiangfangensis (a Prokaryote from the species Enterobacter hormaechei). The sequenced strain is referred to as 'LMG 27195', or 'LMG27195'.",n
CU928158,The accession 'CU928158.2' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Escherichia fergusonii ATCC 35469 (a Prokaryote from the species Escherichia fergusonii). The sequenced strain is referred to as 'ATCC 35469'.,n
PPFD00000000,The accession 'PPFD00000000.1' refers to a Whole Genome Sequence record from the National Center for Biotechnical Information (NCBI) GenBank. The record contains nucleotide sequence data from Endozoicomonas sp. OPT23 (a Prokaryote from the genus Endozoicomonas). The sequenced strain is referred to as 'OPT23'.,n
AE006469,"The accession 'AE006469.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Sinorhizobium meliloti 1021 (a Prokaryote from the species Sinorhizobium meliloti). The sequenced strain is referred to as '1021 plasmid pSymA', or '1021'.",n
AL591985,"The accession 'AL591985.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Sinorhizobium meliloti 1021 (a Prokaryote from the species Sinorhizobium meliloti). The sequenced strain is referred to as '1021 plasmid pSymB', or '1021'.",n
AL591688,The accession 'AL591688.1' refers to a Nucleotide Sequence record from the National Center for Biotechnical Information (NCBI) GenBank Nucleotide Database. The record contains nucleotide sequence data from Sinorhizobium meliloti 1021 (a Prokaryote from the species Sinorhizobium meliloti). The sequenced strain is referred to as '1021'.,n
